Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
16041,19,25,24,1
21952,15,27,14,13
8029,53,4,2,2
11110,38,13,11,2
12153,44,11,6,5
21017,17,39,37,2
14127,36,2,0,2
14016,31,24,11,13
12033,47,19,19,0
22012,22,3,1,2
18035,7,29,11,18
23105,29,4,0,4
15009,26,20,14,6
20117,10,21,14,7
14125,8,16,7,9
18114,21,1,0,1
44103,0,15,10,5
9013,19,2,2,0
92005,17,26,21,5
19113,21,7,0,7
10039,18,4,2,2
31101,10,9,0,9
17001,29,21,14,7
35004,39,17,9,8
31707,32,16,5,11
8011,4,10,6,4
19124,23,6,4,2
7010,58,7,5,2
35015,9,8,0,8
32021,46,18,9,9
15019,19,15,9,6
20203,8,10,1,9
7024,10,16,10,6
12150,11,14,11,3
13515,42,18,11,7
9016,11,4,4,0
15131,7,23,16,7
9036,13,7,6,1
15125,52,0,0,0
13117,31,9,4,5
13027,4,10,5,5
17029,16,17,10,7
11103,3,33,30,3
20039,46,2,1,1
21203,21,6,3,3
5034,37,29,25,4
10017,9,4,1,3
16009,15,2,0,2
15072,5,27,24,3
12006,24,16,14,2
16007,23,3,1,2
22013,12,17,11,6
21708,27,3,1,2
21702,41,7,2,5
15052,6,38,36,2
31021,17,12,0,12
44002,4,22,10,12
13039,11,6,4,2
21030,2,16,15,1
21031,11,29,25,4
15043,10,1,0,1
17039,29,8,3,5
20009,15,5,3,2
42305,8,11,0,11
21955,13,10,8,2
21028,17,17,6,11
10018,24,4,3,1
21219,29,7,4,3
5014,24,4,2,2
13033,8,5,4,1
20122,18,5,0,5
16020,29,5,1,4
14101,29,4,1,3
8020,37,7,4,3
17015,38,8,5,3
15023,13,21,19,2
22501,8,12,10,2
42003,0,30,23,7
40009,23,8,3,5
14131,14,16,4,12
17023,18,15,6,9
19108,33,4,1,3
44007,0,22,15,7
4002,16,3,1,2
42501,3,22,14,8
6008,26,6,3,3
22206,23,8,3,5
11021,18,5,0,5
15030,27,47,39,8
16011,34,3,1,2
12007,24,21,21,0
35007,4,14,6,8
44101,5,34,23,11
13032,19,7,3,4
15064,11,34,34,0
13128,18,11,8,3
43001,21,1,0,1
17107,27,10,7,3
16002,33,4,0,4
15004,16,4,2,2
19128,19,9,6,3
15005,28,14,7,7
18006,32,3,1,2
13044,17,19,10,9
17204,1,0,0,0
15022,3,35,32,3
22408,15,5,1,4
8037,34,3,3,0
33015,5,25,14,11
7017,16,24,19,5
15311,20,10,9,1
35006,11,9,3,6
22015,6,16,13,3
44016,10,18,14,4
15011,34,28,22,6
9004,18,2,0,2
32601,34,4,1,3
33016,2,20,13,7
12026,9,39,35,4
6012,14,4,2,2
21319,10,18,12,6
9102,17,7,4,3
18030,23,12,5,7
92006,27,2,2,0
5024,20,1,1,0
12038,23,20,17,3
12155,17,25,22,3
9011,15,2,2,0
12028,3,21,11,10
5115,3,27,23,4
41211,24,9,2,7
2108,38,1,0,1
4019,28,3,1,2
5001,37,6,4,2
15129,23,16,15,1
21315,12,11,3,8
15036,47,0,0,0
6022,18,3,1,2
13018,5,19,18,1
33014,7,12,7,5
9007,12,7,2,5
13052,34,9,6,3
