Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
14133,24,11,10,1
41208,18,3,1,2
42704,17,8,2,6
21706,37,7,2,5
1014,18,5,3,2
12163,13,29,19,10
21509,21,3,3,0
1012,19,2,1,1
2004,12,3,0,3
19130,7,18,13,5
44001,7,23,13,10
4007,21,12,9,3
5004,16,2,1,1
10041,9,8,3,5
4101,2,16,15,1
9039,28,0,0,0
22506,0,20,8,12
1025,16,1,0,1
1018,21,0,0,0
2008,21,4,3,1
18015,34,7,0,7
1116,24,2,1,1
1017,18,2,1,1
15040,16,18,8,10
23107,21,1,0,1
22601,18,4,0,4
42018,24,7,3,4
27001,11,8,4,4
17021,28,5,2,3
12164,23,2,0,2
16139,29,0,0,0
42028,5,22,7,15
22603,31,2,0,2
12113,41,4,4,0
16010,22,0,0,0
16201,45,16,16,0
32020,9,7,1,6
1015,30,4,4,0
1008,31,1,1,0
2006,20,1,1,0
9019,12,4,3,1
19046,23,10,2,8
10201,12,11,8,3
6029,19,4,3,1
23301,9,17,12,5
34013,3,25,10,15
44008,16,16,10,6
23104,1,26,22,4
23303,15,14,7,7
42022,16,20,14,6
15018,36,20,15,5
10166,12,3,0,3
13049,20,1,1,0
6015,28,25,25,0
17202,14,5,4,1
4104,13,3,1,2
23206,23,5,2,3
42030,1,29,20,9
51008,19,18,13,5
24101,20,4,0,4
34011,21,4,0,4
21704,0,26,19,7
19121,16,3,0,3
13015,25,9,8,1
25007,18,6,3,3
12123,50,1,0,1
21002,0,20,11,9
24004,5,27,15,12
31104,18,12,1,11
42024,3,25,17,8
5027,4,34,30,4
13116,46,4,1,3
48006,5,15,2,13
15012,15,51,48,3
18016,30,3,0,3
15053,9,36,30,6
15041,18,19,10,9
10003,11,6,1,5
11022,0,14,11,3
13028,25,8,4,4
20012,3,14,10,4
14004,19,4,4,0
14027,36,18,9,9
20020,5,24,17,7
12008,18,35,33,2
12102,5,22,17,5
13120,2,17,9,8
15024,15,7,5,2
13006,3,36,29,7
43007,17,10,8,2
43004,19,4,1,3
14009,26,10,2,8
18021,13,8,5,3
16116,3,23,21,2
25004,9,15,10,5
15027,11,9,3,6
31105,5,11,4,7
42205,22,11,7,4
22701,0,28,23,5
17110,26,4,2,2
31701,15,12,3,9
20032,19,6,2,4
8046,24,6,5,1
14005,34,2,1,1
21218,3,15,2,13
18101,13,9,5,4
6028,33,3,2,1
20005,11,7,4,3
16033,10,19,16,3
21205,6,19,8,11
11029,32,7,1,6
19014,11,5,1,4
11028,17,20,14,6
21027,15,9,9,0
25002,4,15,14,1
15113,8,17,6,11
15113,8,17,6,11
6005,44,5,3,2
16022,14,4,2,2
20011,16,4,1,3
19001,30,26,13,13
12040,51,14,8,6
6020,31,5,2,3
21007,9,43,39,4
19007,4,24,13,11
19123,27,5,3,2
5031,42,11,6,5
12017,31,8,7,1
14025,19,11,7,4
42027,20,6,4,2
13013,4,16,12,4
21510,20,4,1,3
11040,7,28,20,8
21511,30,16,11,5
21033,14,3,3,0
8003,46,1,0,1
24010,15,13,7,6
26010,0,21,14,7
20030,28,8,2,6
16140,12,16,10,6
21508,4,21,14,7
15032,1,57,54,3
48011,14,6,0,6
10001,0,0,0,0
34009,20,7,3,4
10151,20,5,2,3
8031,45,1,0,1
26011,3,17,7,10
22208,19,1,0,1
22209,23,1,0,1
45005,0,24,13,11
18045,9,7,2,5
14110,15,10,3,7
18018,14,4,1,3
22305,7,27,20,7
11201,5,10,8,2
22602,21,10,4,6
12106,16,50,48,2
23205,18,5,0,5
32023,17,12,8,4
23201,35,8,0,8
12165,33,2,0,2
12001,34,28,26,2
11001,45,7,2,5
26008,6,27,15,12
26009,0,28,16,12
34008,1,28,22,6
31301,18,7,0,7
5107,16,6,5,1
10026,40,15,7,8
17010,24,15,12,3
18023,19,16,11,5
18026,19,14,6,8
18024,24,6,1,5
16006,9,8,1,7
13205,19,5,2,3
31202,12,14,13,1
20112,0,0,0,0
15013,10,21,19,2
47007,2,18,9,9
13051,22,1,1,0
8038,52,1,0,1
5201,13,3,1,2
18042,18,2,0,2
11014,43,2,1,1
35002,12,17,9,8
8039,14,2,0,2
11102,4,55,36,19
18044,23,6,3,3
12157,65,2,1,1
16103,22,0,0,0
21213,18,7,2,5
11046,10,7,5,2
15060,14,7,7,0
11011,1,23,21,2
7111,13,9,8,1
11012,24,10,4,6
15105,6,19,19,0
7023,27,29,27,2
9025,44,7,6,1
40007,8,19,18,1
12107,5,16,16,0
40014,4,24,15,9
23011,11,15,14,1
16005,19,4,2,2
26005,0,28,24,4
23801,19,1,0,1
40004,17,7,4,3
23703,16,1,1,0
40008,33,11,4,7
10031,23,9,3,6
16001,0,0,0,0
35014,16,9,1,8
10013,45,14,7,7
15103,3,47,42,5
6001,16,1,0,1
13123,38,4,2,2
15122,4,20,12,8
15058,37,8,7,1
42004,11,14,13,1
19018,48,9,6,3
33019,13,21,4,17
21302,5,19,9,10
18014,1,12,2,10
32012,64,3,1,2
15056,10,12,9,3
